"bus","TotalDeIngresosPorBus"
"15008","736975"
"15508","257025"
"15023","224950"
"15022","214850"
"15524","198150"
"15518","196525"
"15525","159800"
"15013","133175"
"15526","92350"
"15519","88900"
"15513","78000"
"15512","73975"
"15511","66050"
"15509","51725"
"15015","48850"
"15510","47475"
"15515","46675"
"15517","45150"
"15521","38700"
"15021","34325"
"15017","30575"
"2161","24225"
"2186","22750"
"2196","21875"
"1042","21550"
"2092","21475"
"2088","21425"
"884","21175"
"2052","20950"
"1136","20850"
